feature,family,literature_anchor,source_columns,goal,formula,mean_benign_train,mean_malignant_train,std_diff_train,abs_std_diff_train,skew_train,outlier_rate_pct_train,max_abs_corr_with_base_train,feature_std_train,novelty_score,screen_pass_v2,screen_reason_v2,decision_v2,decision_reason_v2,max_abs_corr_with_selected_train,most_similar_selected_feature,target_corr,abs_target_corr,selected_v2,top_peer,max_abs_corr_with_final_numeric_train,top_peer_abs_target_corr,top_peer_is_engineered,vif_with_v2_numeric,decision_v3,decision_reason_v3,selected_v3
feat_diameter_color_coupling,geometry,Diameter x color,"clin_size_long_diam_mm, tbp_lv_norm_color",크기와 색 불균일을 함께 반영,long_diam * norm_color,13.824113,37.430867,0.798178,0.798178,3.377653,7.411133,0.843327,15.213237,0.125053,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.739477,feat_border_color_interaction,0.048133713508957544,0.048133713508957544,True,tbp_lv_color_std_mean,0.926579,0.016583,False,935.2737251213817,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_area_eccentricity_coupling,geometry,Size x eccentricity,"tbp_lv_areaMM2, tbp_lv_eccentricity",큰 병변이면서 길쭉한 형태를 함께 반영,areaMM2 * eccentricity,6.163506,16.149328,0.662297,0.662297,6.312781,9.419801,0.965022,7.181008,0.023166,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.831219,feat_diameter_color_coupling,0.043135333975451745,0.043135333975451745,True,clin_size_long_diam_mm,0.973051,0.023999,False,468.3823979414422,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_age_size_interaction,context,Age-context proxy,"age_approx, clin_size_long_diam_mm",연령과 장축 크기를 함께 반영,age_approx * long_diam,224.128833,358.490556,0.662809,0.662809,2.737816,6.129452,0.868153,115.487288,0.087389,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.707549,feat_diameter_color_coupling,0.036089106597710106,0.036089106597710106,True,clin_size_long_diam_mm,0.801722,0.023999,False,5661.9116884712685,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_vertical_size_interaction,spatial,SLICE-3D spatial proxy,"tbp_lv_y, clin_size_long_diam_mm",세로 위치와 크기를 함께 반영,|y| * long_diam,4094.824829,6540.925475,0.602365,0.602365,1.820043,4.574527,0.739252,2506.315363,0.157065,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.46621,feat_border_color_interaction,0.030274247610156325,0.030274247610156325,True,tbp_lv_y,0.81954,0.009762,False,10.605309247288567,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_hue_color_coupling,color,ABCD color x CASH homogeneity,"tbp_lv_H, tbp_lv_Hext, tbp_lv_norm_color",hue 차이와 색 불균일을 동시에 반영,hue_gap * norm_color,23.189072,48.058087,0.665823,0.665823,3.081241,6.823622,0.81207,27.551821,0.125128,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.451792,feat_architecture_proxy_sum,0.027999033407492765,0.027999033407492765,True,tbp_lv_color_std_mean,0.891835,0.016583,False,77.19104245263176,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_border_color_interaction,architecture,ABCD border x color,"tbp_lv_norm_border, tbp_lv_norm_color",경계 불규칙성과 색 불균일을 함께 반영,norm_border * norm_color,9.834775,17.648866,0.568401,0.568401,2.779818,7.280218,0.691244,9.056648,0.175497,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.902834,feat_architecture_proxy_sum,0.02676367226438557,0.02676367226438557,True,feat_diameter_color_coupling,0.891074,0.015271,True,426.2530194964639,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_chroma_normalized_gap,color,ABCD color,"tbp_lv_C, tbp_lv_Cext",채도 차이를 크기 보정된 비율로 표현,(C-Cext) / (C+Cext),0.058435,0.02813,-0.532931,0.532931,-0.549533,3.374891,0.768421,0.036819,0.123416,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.193513,feat_architecture_proxy_sum,-0.02553100398584202,0.02553100398584202,True,tbp_lv_deltaB,0.768421,0.036616,False,146.60278406079607,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_architecture_proxy_sum,architecture,ABCD / CASH proxy,"tbp_lv_symm_2axis, tbp_lv_norm_border, tbp_lv_norm_color",비대칭-경계-색 축을 합산한 간단한 구조 점수,symm_2axis + norm_border + norm_color,6.830407,8.799782,0.604853,0.604853,1.280534,3.811155,0.670506,2.416013,0.199295,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.148881,feat_contrast_to_color_variation,0.025285055546523338,0.025285055546523338,True,feat_border_color_interaction,0.765294,0.007599,True,4941.169639648299,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_color_variation_total,color,CASH homogeneity,"tbp_lv_color_std_mean, tbp_lv_radial_color_std_max, tbp_lv_stdL, tbp_lv_stdLExt",색과 명도의 이질성을 한 축으로 합산,color_std_mean + radial_color_std_max + stdL + stdLExt,7.023145,9.527265,0.59135,0.59135,1.392694,3.309968,0.928616,3.123746,0.042213,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.821037,feat_hue_color_coupling,0.024866476997634876,0.024866476997634876,True,tbp_lv_stdL,0.917007,0.009696,False,181.61028580389333,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_border_contrast_interaction,architecture,ABCD border x color contrast,"tbp_lv_norm_border, tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB",경계 불규칙성과 색차 강도를 함께 반영,norm_border * contrast_euclidean,33.494845,44.21929,0.49855,0.49855,1.76668,4.28523,0.718368,14.95176,0.140408,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.893203,feat_symmetry_contrast_interaction,0.02224934621030066,0.02224934621030066,True,feat_symmetry_contrast_interaction,0.907721,0.011405,True,5900.854523555426,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
