feature,family,literature_anchor,source_columns,goal,formula,mean_benign_train,mean_malignant_train,std_diff_train,abs_std_diff_train,skew_train,outlier_rate_pct_train,max_abs_corr_with_base_train,feature_std_train,novelty_score,screen_pass_v2,screen_reason_v2
feat_xz_radius,spatial,SLICE-3D spatial proxy,"tbp_lv_x, tbp_lv_z",x-z 평면 반경,sqrt(x^2 + z^2),202.966073,173.462648,-0.312706,0.312706,0.943504,4.701518,0.191736,93.672,0.252749,True,pass
feat_contrast_to_color_variation,color,CASH color-homogeneity,"tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB, tbp_lv_color_std_mean",색차 강도를 병변 내부 색 분산으로 다시 스케일링,contrast_euclidean / color_std_mean,494616.247457,1574172.264836,0.388261,0.388261,3.985952,10.699342,0.384345,1947272.475284,0.239035,True,pass
feat_contrast_to_radial_variation,color,CASH color-homogeneity,"tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB, tbp_lv_radial_color_std_max",색차 강도를 중심-주변 색 변동으로 다시 스케일링,contrast_euclidean / radial_color_std_max,565377.24418,1574173.289753,0.356796,0.356796,3.69114,12.168655,0.404277,2077753.211348,0.212552,True,pass
feat_architecture_proxy_sum,architecture,ABCD / CASH proxy,"tbp_lv_symm_2axis, tbp_lv_norm_border, tbp_lv_norm_color",비대칭-경계-색 축을 합산한 간단한 구조 점수,symm_2axis + norm_border + norm_color,6.830407,8.799782,0.604853,0.604853,1.280534,3.811155,0.670506,2.416013,0.199295,True,pass
feat_border_to_color_ratio,architecture,ABCD border vs color balance,"tbp_lv_norm_border, tbp_lv_norm_color",경계 불규칙성이 색 불균일보다 상대적으로 큰지 확인,norm_border / norm_color,325427.708389,777637.826952,0.300608,0.300608,4.081228,12.268893,0.379939,1295083.972151,0.186395,True,pass
feat_border_color_interaction,architecture,ABCD border x color,"tbp_lv_norm_border, tbp_lv_norm_color",경계 불규칙성과 색 불균일을 함께 반영,norm_border * norm_color,9.834775,17.648866,0.568401,0.568401,2.779818,7.280218,0.691244,9.056648,0.175497,True,pass
feat_perimeter_to_long_ratio,geometry,Border length / diameter,"tbp_lv_perimeterMM, clin_size_long_diam_mm",둘레가 장축 대비 얼마나 큰지 확인,perimeterMM / long_diam,2.993739,3.15459,0.449581,0.449581,1.007275,2.11818,0.618236,0.312273,0.171634,True,pass
feat_border_colorstd_interaction,architecture,CASH architecture x homogeneity,"tbp_lv_norm_border, tbp_lv_color_std_mean",경계 불규칙성과 내부 색 분산을 결합,norm_border * color_std_mean,3.403168,6.243812,0.560368,0.560368,3.471355,7.243833,0.69549,3.29856,0.170638,True,pass
feat_vertical_size_interaction,spatial,SLICE-3D spatial proxy,"tbp_lv_y, clin_size_long_diam_mm",세로 위치와 크기를 함께 반영,|y| * long_diam,4094.824829,6540.925475,0.602365,0.602365,1.820043,4.574527,0.739252,2506.315363,0.157065,True,pass
feat_border_radial_color_interaction,architecture,CASH architecture x homogeneity,"tbp_lv_norm_border, tbp_lv_radial_color_std_max",경계 불규칙성과 중심-주변 색 변동을 결합,norm_border * radial_color_std_max,3.242347,6.337472,0.571616,0.571616,3.632121,7.43967,0.738057,3.26352,0.149731,True,pass
feat_symmetry_contrast_interaction,architecture,ABCD asymmetry x color contrast,"tbp_lv_symm_2axis, tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB",비대칭성과 색차 강도를 함께 반영,symm_2axis * contrast_euclidean,3.021428,3.518659,0.357435,0.357435,1.326152,2.816987,0.591524,1.139234,0.146004,True,pass
feat_border_contrast_interaction,architecture,ABCD border x color contrast,"tbp_lv_norm_border, tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB",경계 불규칙성과 색차 강도를 함께 반영,norm_border * contrast_euclidean,33.494845,44.21929,0.49855,0.49855,1.76668,4.28523,0.718368,14.95176,0.140408,True,pass
feat_architecture_proxy_product,architecture,ABCD / CASH proxy,"tbp_lv_symm_2axis, tbp_lv_norm_border, tbp_lv_norm_color",세 구조 축이 동시에 큰 경우를 강조,(symm_2axis+eps)*(norm_border+eps)*(norm_color+eps),3.309946,5.821001,0.392869,0.392869,4.153571,9.610644,0.648509,4.50522,0.13809,True,pass
feat_cash_proxy_raw,architecture,CASH proxy,"tbp_lv_symm_2axis, tbp_lv_norm_border, tbp_lv_norm_color, tbp_lv_color_std_mean",색-구조-대칭-균질성의 단순 raw proxy,symm_2axis + norm_border + norm_color + color_std_mean,7.89662,10.50165,0.623893,0.623893,1.31619,3.919953,0.792969,2.968538,0.129165,True,pass
feat_hue_color_coupling,color,ABCD color x CASH homogeneity,"tbp_lv_H, tbp_lv_Hext, tbp_lv_norm_color",hue 차이와 색 불균일을 동시에 반영,hue_gap * norm_color,23.189072,48.058087,0.665823,0.665823,3.081241,6.823622,0.81207,27.551821,0.125128,True,pass
feat_diameter_color_coupling,geometry,Diameter x color,"clin_size_long_diam_mm, tbp_lv_norm_color",크기와 색 불균일을 함께 반영,long_diam * norm_color,13.824113,37.430867,0.798178,0.798178,3.377653,7.411133,0.843327,15.213237,0.125053,True,pass
feat_chroma_normalized_gap,color,ABCD color,"tbp_lv_C, tbp_lv_Cext",채도 차이를 크기 보정된 비율로 표현,(C-Cext) / (C+Cext),0.058435,0.02813,-0.532931,0.532931,-0.549533,3.374891,0.768421,0.036819,0.123416,True,pass
feat_area_to_xyz_radius,spatial,SLICE-3D spatial proxy,"tbp_lv_areaMM2, tbp_lv_x, tbp_lv_y, tbp_lv_z",면적을 3D 위치 반경으로 보정,areaMM2 / xyz_radius,0.00972,0.026918,0.540781,0.540781,10.772659,8.253696,0.773048,0.014115,0.122731,True,pass
feat_age_contrast_interaction,context,Age-context proxy,"age_approx, tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB",연령과 색차 강도를 함께 반영,age_approx * contrast_euclidean,600.023371,742.644465,0.520865,0.520865,1.447275,2.920791,0.768004,248.435053,0.120839,True,pass
feat_symmetry_color_interaction,architecture,ABCD asymmetry x color,"tbp_lv_symm_2axis, tbp_lv_norm_color",비대칭성과 색 불균일을 함께 반영,symm_2axis * norm_color,0.856729,1.272536,0.453954,0.453954,2.15362,5.760965,0.757234,0.661397,0.110205,True,pass
feat_hue_circular_gap,color,DermNet color variety,"tbp_lv_H, tbp_lv_Hext",내부와 외부의 hue 차이를 원형 축에서 계산,"circular_abs_diff(H, Hext)",6.325654,8.618829,0.528053,0.528053,2.021065,3.254677,0.792969,3.835003,0.109323,True,pass
feat_symmetry_colorstd_interaction,architecture,CASH symmetry x homogeneity,"tbp_lv_symm_2axis, tbp_lv_color_std_mean",비대칭성과 내부 색 분산을 결합,symm_2axis * color_std_mean,0.295787,0.449716,0.455109,0.455109,2.851307,5.703177,0.760677,0.241016,0.108918,True,pass
feat_long_to_xyz_radius,spatial,SLICE-3D spatial proxy,"clin_size_long_diam_mm, tbp_lv_x, tbp_lv_y, tbp_lv_z",장축을 3D 위치 반경으로 보정,long_diam / xyz_radius,0.004514,0.006472,0.356557,0.356557,3.690215,6.54681,0.697988,0.003503,0.107684,True,pass
feat_symmetry_radial_color_interaction,architecture,CASH symmetry x homogeneity,"tbp_lv_symm_2axis, tbp_lv_radial_color_std_max",비대칭성과 중심-주변 색 변동을 결합,symm_2axis * radial_color_std_max,0.282391,0.454085,0.483891,0.483891,2.990216,6.022794,0.797978,0.240538,0.097757,True,pass
feat_age_size_interaction,context,Age-context proxy,"age_approx, clin_size_long_diam_mm",연령과 장축 크기를 함께 반영,age_approx * long_diam,224.128833,358.490556,0.662809,0.662809,2.737816,6.129452,0.868153,115.487288,0.087389,True,pass
feat_long_minor_difference,geometry,Diameter spread,"clin_size_long_diam_mm, tbp_lv_minorAxisMM",장축과 단축 차이,long_diam - minorAxisMM,1.389932,1.872577,0.346411,0.346411,2.522815,5.284035,0.775097,0.949529,0.077909,True,pass
feat_age_perimeter_interaction,context,Age-context proxy,"age_approx, tbp_lv_perimeterMM",연령과 경계 길이를 함께 반영,age_approx * perimeterMM,678.178761,1169.790001,0.688223,0.688223,3.194527,6.584265,0.8921,390.63204,0.074259,True,pass
feat_diameter_symmetry_coupling,geometry,Diameter x asymmetry,"clin_size_long_diam_mm, tbp_lv_symm_2axis",크기와 비대칭성을 함께 반영,long_diam * symm_2axis,1.20739,1.688306,0.430365,0.430365,2.911146,6.560009,0.845597,0.808352,0.06645,True,pass
feat_color_to_border_ratio,architecture,ABCD color vs border balance,"tbp_lv_norm_border, tbp_lv_norm_color",색 불균일성이 경계 불규칙성보다 상대적으로 큰지 확인,norm_color / norm_border,1.22035,1.681742,0.318923,0.318923,1.917882,4.928746,0.812365,1.125146,0.059841,True,pass
feat_diameter_border_coupling,geometry,Diameter x border,"clin_size_long_diam_mm, tbp_lv_norm_border",크기와 경계 불규칙성을 함께 반영,long_diam * norm_border,14.332366,23.59354,0.475918,0.475918,3.54832,7.822427,0.874285,12.870795,0.05983,True,pass
feat_nevi_border_interaction,context,Nevus-confidence context,"tbp_lv_nevi_confidence, tbp_lv_norm_border",모반 신뢰도와 경계 불규칙성을 결합,nevi_confidence * norm_border,92.997983,53.291062,-0.409847,0.409847,1.270583,0.874311,0.860613,106.340348,0.057127,True,pass
feat_nevi_symmetry_interaction,context,Nevus-confidence context,"tbp_lv_nevi_confidence, tbp_lv_symm_2axis",모반 신뢰도와 비대칭성을 결합,nevi_confidence * symm_2axis,8.893198,4.4472,-0.515174,0.515174,0.884611,0.372055,0.898495,9.899026,0.052293,True,pass
feat_age_color_interaction,context,Age-context proxy,"age_approx, tbp_lv_norm_color",연령과 색 불균일을 함께 반영,age_approx * norm_color,173.573841,285.309273,0.622582,0.622582,1.272523,3.891059,0.918475,123.420532,0.050756,True,pass
feat_abs_z,spatial,SLICE-3D spatial proxy,tbp_lv_z,깊이 방향 절대 위치,|z|,88.77968,82.817556,-0.109612,0.109612,0.245884,0.018906,0.598839,53.615672,0.043972,True,pass
